learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.330685045,1.1043963687215E-8,10000.0,80.07,58.58479270161392,59.276665304454426,52.38891543239368,10000.0,129096.0,38.0,30.0,30.0,3.0,0.0,0.0,1.0
20000.0,0.450262196,1.7018814318209058E-8,20000.0,83.465,65.67936925758613,65.75541058299679,60.437851417633695,20000.0,193144.0,59.0,45.0,45.0,3.0,0.0,0.0,1.0
30000.0,0.531834585,2.177775692873324E-8,30000.0,84.89666666666666,68.77462934706296,68.72152423029131,64.1478081974996,30000.0,225512.0,72.0,53.0,53.0,4.0,0.0,0.0,1.0
40000.0,0.613479825,2.7540934586605677E-8,40000.0,85.97,70.99573189946128,71.1435623200329,66.60517703064565,40000.0,272856.0,91.0,64.0,64.0,4.0,0.0,0.0,1.0
50000.0,0.675659512,3.215360704144463E-8,50000.0,86.666,72.45114779848547,72.60549780170112,68.26447067783701,50000.0,286752.0,97.0,67.0,67.0,4.0,0.0,0.0,1.0
60000.0,0.751267741,3.850369040302932E-8,60000.0,87.19,73.56528644593355,73.68979563892788,69.57846823669108,60000.0,324648.0,115.0,76.0,76.0,4.0,0.0,0.0,1.0
70000.0,0.809218212,4.351911660721318E-8,70000.0,87.59285714285714,74.41908780066878,74.57701539722498,70.58325430158514,70000.0,334544.0,119.0,78.0,78.0,5.0,0.0,0.0,1.0
80000.0,0.857310162,4.7787121493087874E-8,80000.0,87.94875,75.17445417808463,75.35216668797136,71.47633136094674,80000.0,343048.0,126.0,83.0,83.0,5.0,0.0,0.0,1.0
90000.0,0.92362041,5.456466197924481E-8,90000.0,88.22222222222223,75.72995048665673,75.90306667575986,72.05820328975116,90000.0,395088.0,144.0,92.0,92.0,5.0,0.0,0.0,1.0
100000.0,0.990292913,6.234140332450676E-8,100000.0,88.527,76.35112372657882,76.469985028405,72.73008176459402,100000.0,450872.0,169.0,106.0,106.0,5.0,0.0,0.0,1.0
