learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.07420548,8.323823859294256E-11,10000.0,73.27,44.45557318606823,45.56008146639511,36.65876777251186,10000.0,4336.0
20000.0,0.103773672,1.1640565723180771E-10,20000.0,73.745,45.02699037627901,46.538383221339856,37.41358760429083,20000.0,4336.0
30000.0,0.125573904,1.4085955083370208E-10,30000.0,73.85666666666667,45.210125699693876,46.74407550757114,38.146687697160885,30000.0,4336.0
40000.0,0.146283048,1.6408954232931136E-10,40000.0,73.9225,45.298408430684184,46.51866283839213,38.23790632956362,40000.0,4336.0
50000.0,0.166947936,1.8726989070574442E-10,50000.0,73.79599999999999,44.95699787094406,46.342861823245144,37.79318203399485,50000.0,4336.0
60000.0,0.187578636,2.1041188950339953E-10,60000.0,73.77,44.954889760356544,46.325159442038135,37.93674580014197,60000.0,4336.0
70000.0,0.20345035,2.2821560853885279E-10,70000.0,73.75285714285714,44.91709604729183,46.27149374195812,37.89758323474733,70000.0,4336.0
80000.0,0.216134515,2.4244377002533937E-10,80000.0,73.75500000000001,44.88299255681318,46.18066236029941,37.79331595164733,80000.0,4336.0
90000.0,0.228746515,2.5659098213331567E-10,90000.0,73.72555555555556,44.83172146417908,46.15769940117034,37.76613943206042,90000.0,4336.0
100000.0,0.243441631,2.7307488024648694E-10,100000.0,73.747,44.913618187108476,46.1852246638242,37.983086081451376,100000.0,4336.0
110000.0,0.258359735,2.898089098640614E-10,110000.0,73.7309090909091,44.87306881010753,46.184933420243965,37.962128043282235,110000.0,4336.0
120000.0,0.27207476,3.051934141251776E-10,120000.0,73.68916666666667,44.77785879993323,46.06685912437435,37.842307313711956,120000.0,4336.0
130000.0,0.285975805,3.2078658191280233E-10,130000.0,73.66076923076923,44.71988382505552,46.00233394310224,37.76626681206833,130000.0,4336.0
140000.0,0.30111729,3.377711838732163E-10,140000.0,73.66857142857143,44.7350345939734,46.10053513466093,37.8273995243958,140000.0,4336.0
150000.0,0.313284401,3.514193522888753E-10,150000.0,73.668,44.7337823403623,46.14398691028088,37.81605214269971,150000.0,4336.0
160000.0,0.325784335,3.6544085701720583E-10,160000.0,73.683125,44.759049704994226,46.15404289057406,37.84210681704114,160000.0,4336.0
170000.0,0.337785467,3.7890284242315425E-10,170000.0,73.70529411764706,44.81117986589368,46.184869498218234,37.912690806561386,170000.0,4336.0
180000.0,0.349757125,3.9233176606810755E-10,180000.0,73.7,44.79487924576604,46.15743320860298,37.90172364037044,180000.0,4336.0
190000.0,0.362247053,4.0634204680307044E-10,190000.0,73.67842105263158,44.75986804916638,46.12102864653473,37.89305051909991,190000.0,4336.0
200000.0,0.374184922,4.197330684380399E-10,200000.0,73.682,44.76815896847206,46.159039299523336,37.91240548733737,200000.0,4336.0
210000.0,0.386104636,4.33103725132015E-10,210000.0,73.67904761904762,44.75636686743535,46.127230728745346,37.892288504106894,210000.0,4336.0
220000.0,0.39802388,4.4647385461462867E-10,220000.0,73.70818181818181,44.797089358060056,46.174962545248135,37.909787672556305,220000.0,4336.0
230000.0,0.409954729,4.598570017309652E-10,230000.0,73.70826086956521,44.78748981429376,46.18198323276552,37.883534837854754,230000.0,4336.0
240000.0,0.421689952,4.73020710017946E-10,240000.0,73.71708333333333,44.797875059751796,46.1902649582857,37.882577697246624,240000.0,4336.0
