learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.019793005,9.421654769943821E-12,1000.0,81.39999999999999,61.254036037912705,62.27180527383366,56.23529411764705,1000.0,1840.0
2000.0,0.027251508,1.2971971680720649E-11,2000.0,88.6,76.65006226650063,77.15430861723446,73.85321100917432,2000.0,1840.0
3000.0,0.032749012,1.5588834798998304E-11,3000.0,88.3,75.74848065267679,75.97535934291582,72.3404255319149,3000.0,1840.0
4000.0,0.036386735,1.732042483571503E-11,4000.0,89.8,79.08121410992618,78.92561983471074,76.7123287671233,4000.0,1840.0
5000.0,0.04029966,1.918301358819008E-11,5000.0,89.4,77.73483448159973,78.00829875518673,74.01960784313727,5000.0,1840.0
6000.0,0.044119516,2.1001300629642275E-11,6000.0,88.2,75.95027004993376,77.13178294573643,73.48314606741573,6000.0,1840.0
7000.0,0.047282999,2.2507148008379672E-11,7000.0,88.4,76.3600125536485,76.42276422764228,74.39293598233996,7000.0,1840.0
8000.0,0.049942309,2.377300434228447E-11,8000.0,88.0,75.07477567298105,76.19047619047619,71.42857142857143,8000.0,1840.0
9000.0,0.052326972,2.4908126145601273E-11,9000.0,88.2,75.68183598016628,75.05285412262155,72.62180974477958,9000.0,1840.0
10000.0,0.054766085,2.6069166656169626E-11,10000.0,88.2,75.8856899962398,76.16161616161617,73.0593607305936,10000.0,1840.0
11000.0,0.057230329,2.724216975685623E-11,11000.0,89.7,78.7386881564172,78.22410147991543,75.41766109785203,11000.0,1840.0
12000.0,0.059645137,2.839164086100128E-11,12000.0,88.6,76.60098522167488,77.15430861723446,73.85321100917432,12000.0,1840.0
13000.0,0.06220858,2.9611863609817294E-11,13000.0,86.9,72.84658944872358,73.90438247011953,69.03073286052009,13000.0,1840.0
14000.0,0.064634995,3.0766859754092165E-11,14000.0,88.8,77.0597102969129,77.37373737373737,74.3119266055046,14000.0,1840.0
